Destination Type,Trip Purpose,Budget Range,Travel Season,Travel Duration,Accommodation Preference,Interest,Food Interests,Travel Type / Group,Country_Info
Other,Spiritual Retreat,Luxury,Spring,A Month,Hotel,Relaxation,Vegan,Couples,Thailand - Beaches in Phuket
Countryside,Other,Budget-Friendly,Autumn,3-days,Apartment,Adventure,Vegan,Business Group,Japan - Cherry Blossoms in Kyoto
Historical Sites,Adventure,Luxury,Summer,Weekend,Resort,Culture,Vegetarian,Couples,Indonesia - Bali Temples
Beach,Other,Luxury,Winter,Long(+month),Hostel,Adventure,Vegan,Business Group,Turkey - Cappadocia Hot Air Balloons
Island,Spiritual Retreat,Budget-Friendly,Summer,3-days,Camping,Relaxation,Vegetarian,Friends Group,USA - Grand Canyon
Beach,Honeymoon,Luxury,Summer,Long(+month),Camping,Nature,Non-Vegetarian,Business Group,Egypt - Pyramids of Giza
Beach,Adventure,Luxury,Winter,Weekend,Apartment,Nature,Non-Vegetarian,Business Group,Italy - Venetian Canals in Venice
Beach,Other,Mid-Range,Winter,Long(+month),Hostel,Nature,Vegetarian,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Historical Sites,Honeymoon,Luxury,Winter,3-days,Resort,Nature,Vegan,Business Group,Brazil - Carnival in Rio de Janeiro
City,Family Vacation,Luxury,Spring,A Month,Camping,Adventure,Non-Vegetarian,Couples,New Zealand - Milford Sound
Beach,Other,Luxury,Spring,3-days,Hostel,Nature,Vegan,Business Group,Switzerland - Swiss Alps
Countryside,Family Vacation,Luxury,Winter,3-days,Resort,Culture,Non-Vegetarian,Friends Group,New Zealand - Milford Sound
Historical Sites,Other,Mid-Range,Winter,Weekend,Hostel,Relaxation,Vegetarian,Couples,Brazil - Carnival in Rio de Janeiro
Island,Adventure,Luxury,Winter,3-days,Camping,Adventure,Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
Mountains,Family Vacation,Mid-Range,Autumn,Weekend,Camping,Adventure,Non-Vegetarian,Friends Group,Switzerland - Swiss Alps
Historical Sites,Honeymoon,Budget-Friendly,Winter,Long(+month),Hotel,Relaxation,Vegan,Friends Group,Mexico - Chichen Itza
Countryside,Spiritual Retreat,Budget-Friendly,Autumn,3-days,Resort,Nature,Non-Vegetarian,Friends Group,Indonesia - Bali Temples
Other,Family Vacation,Mid-Range,Summer,Long(+month),Apartment,Culture,Vegetarian,Friends Group,Germany - Neuschwanstein Castle
Historical Sites,Family Vacation,Budget-Friendly,Winter,3-days,Hotel,Relaxation,Non-Vegetarian,Business Group,Switzerland - Swiss Alps
Mountains,Family Vacation,Budget-Friendly,Spring,Long(+month),Resort,Nature,Vegetarian,Business Group,Egypt - Pyramids of Giza
Beach,Other,Mid-Range,Summer,3-days,Camping,Culture,Vegan,Friends Group,Thailand - Beaches in Phuket
Countryside,Honeymoon,Luxury,Summer,3-days,Apartment,Relaxation,Vegetarian,Couples,France - Eiffel Tower in Paris
Beach,Family Vacation,Mid-Range,Winter,3-days,Hotel,Adventure,Vegan,Couples,Australia - Great Barrier Reef
Countryside,Family Vacation,Budget-Friendly,Autumn,Weekend,Resort,Adventure,Non-Vegetarian,Solo Traveler,Mexico - Chichen Itza
Mountains,Spiritual Retreat,Budget-Friendly,Autumn,Weekend,Apartment,Nature,Vegan,Solo Traveler,UAE - Burj Khalifa in Dubai
Island,Spiritual Retreat,Budget-Friendly,Autumn,3-days,Hostel,Adventure,Vegan,Family with Kids,Brazil - Carnival in Rio de Janeiro
Countryside,Spiritual Retreat,Budget-Friendly,Autumn,Weekend,Resort,Adventure,Vegan,Solo Traveler,Italy - Venetian Canals in Venice
Other,Honeymoon,Budget-Friendly,Winter,Weekend,Resort,Adventure,Non-Vegetarian,Solo Traveler,Indonesia - Bali Temples
Island,Other,Budget-Friendly,Spring,3-days,Resort,Relaxation,Vegan,Couples,Indonesia - Bali Temples
Countryside,Honeymoon,Luxury,Spring,Weekend,Resort,Nature,Non-Vegetarian,Friends Group,Greece - Santorini Sunset
Other,Spiritual Retreat,Luxury,Spring,3-days,Resort,Culture,Vegetarian,Family with Kids,Turkey - Cappadocia Hot Air Balloons
Beach,Family Vacation,Mid-Range,Summer,Long(+month),Hostel,Relaxation,Vegan,Couples,Egypt - Pyramids of Giza
Island,Adventure,Mid-Range,Winter,A Month,Hostel,Relaxation,Non-Vegetarian,Family with Kids,New Zealand - Milford Sound
City,Family Vacation,Luxury,Winter,A Month,Camping,Relaxation,Non-Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
Mountains,Adventure,Budget-Friendly,Summer,A Month,Apartment,Culture,Vegan,Friends Group,Spain - La Sagrada Familia in Barcelona
City,Honeymoon,Budget-Friendly,Autumn,A Month,Apartment,Relaxation,Non-Vegetarian,Friends Group,Indonesia - Bali Temples
Other,Other,Mid-Range,Summer,Long(+month),Resort,Relaxation,Vegetarian,Couples,France - Eiffel Tower in Paris
City,Other,Mid-Range,Autumn,Weekend,Camping,Nature,Vegan,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Island,Honeymoon,Mid-Range,Winter,Long(+month),Resort,Relaxation,Vegan,Solo Traveler,New Zealand - Milford Sound
Island,Spiritual Retreat,Budget-Friendly,Summer,A Month,Camping,Nature,Vegan,Couples,Canada - Niagara Falls
Countryside,Spiritual Retreat,Luxury,Autumn,Weekend,Hotel,Adventure,Vegetarian,Solo Traveler,New Zealand - Milford Sound
Beach,Spiritual Retreat,Luxury,Winter,A Month,Camping,Culture,Non-Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Island,Spiritual Retreat,Budget-Friendly,Autumn,Weekend,Apartment,Culture,Vegan,Couples,New Zealand - Milford Sound
City,Family Vacation,Luxury,Summer,Weekend,Camping,Nature,Vegan,Family with Kids,South Africa - Safari in Kruger National Park
City,Adventure,Budget-Friendly,Spring,Weekend,Resort,Adventure,Non-Vegetarian,Family with Kids,Switzerland - Swiss Alps
Beach,Family Vacation,Mid-Range,Summer,3-days,Hostel,Nature,Vegan,Business Group,Italy - Venetian Canals in Venice
Other,Family Vacation,Mid-Range,Summer,Long(+month),Hotel,Nature,Vegetarian,Business Group,New Zealand - Milford Sound
Other,Spiritual Retreat,Mid-Range,Winter,Long(+month),Resort,Adventure,Vegan,Couples,Egypt - Pyramids of Giza
Countryside,Spiritual Retreat,Luxury,Winter,Long(+month),Hotel,Relaxation,Vegetarian,Couples,Spain - La Sagrada Familia in Barcelona
Historical Sites,Adventure,Mid-Range,Autumn,3-days,Hostel,Nature,Vegan,Couples,Switzerland - Swiss Alps
Countryside,Other,Luxury,Winter,Long(+month),Apartment,Relaxation,Vegan,Couples,Australia - Great Barrier Reef
Beach,Other,Mid-Range,Summer,Long(+month),Hostel,Nature,Vegan,Solo Traveler,Greece - Santorini Sunset
City,Adventure,Mid-Range,Summer,Long(+month),Hostel,Relaxation,Non-Vegetarian,Couples,France - Eiffel Tower in Paris
Countryside,Spiritual Retreat,Budget-Friendly,Winter,A Month,Hostel,Nature,Non-Vegetarian,Solo Traveler,Brazil - Carnival in Rio de Janeiro
Beach,Spiritual Retreat,Mid-Range,Autumn,A Month,Camping,Nature,Non-Vegetarian,Friends Group,UAE - Burj Khalifa in Dubai
Countryside,Adventure,Mid-Range,Autumn,A Month,Apartment,Relaxation,Non-Vegetarian,Family with Kids,Turkey - Cappadocia Hot Air Balloons
Other,Adventure,Budget-Friendly,Spring,3-days,Apartment,Relaxation,Non-Vegetarian,Business Group,Mexico - Chichen Itza
Beach,Spiritual Retreat,Luxury,Spring,Weekend,Resort,Relaxation,Vegan,Family with Kids,Switzerland - Swiss Alps
Historical Sites,Family Vacation,Mid-Range,Summer,A Month,Resort,Adventure,Vegetarian,Couples,Canada - Niagara Falls
City,Adventure,Budget-Friendly,Autumn,A Month,Camping,Nature,Non-Vegetarian,Friends Group,Canada - Niagara Falls
Island,Honeymoon,Budget-Friendly,Spring,A Month,Apartment,Nature,Vegetarian,Business Group,Japan - Cherry Blossoms in Kyoto
Countryside,Adventure,Mid-Range,Summer,Long(+month),Camping,Culture,Vegan,Family with Kids,Italy - Venetian Canals in Venice
Other,Honeymoon,Budget-Friendly,Autumn,A Month,Resort,Nature,Vegan,Friends Group,Canada - Niagara Falls
Historical Sites,Spiritual Retreat,Luxury,Spring,Weekend,Apartment,Culture,Non-Vegetarian,Family with Kids,Italy - Venetian Canals in Venice
Countryside,Honeymoon,Mid-Range,Autumn,Long(+month),Resort,Nature,Vegan,Friends Group,Australia - Great Barrier Reef
Beach,Adventure,Luxury,Summer,Weekend,Hotel,Nature,Non-Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
Beach,Honeymoon,Mid-Range,Autumn,3-days,Apartment,Relaxation,Non-Vegetarian,Business Group,Thailand - Beaches in Phuket
Mountains,Honeymoon,Mid-Range,Spring,3-days,Hostel,Adventure,Vegetarian,Friends Group,Canada - Niagara Falls
Other,Spiritual Retreat,Budget-Friendly,Winter,3-days,Hostel,Culture,Vegetarian,Family with Kids,Germany - Neuschwanstein Castle
Historical Sites,Other,Budget-Friendly,Spring,A Month,Camping,Culture,Vegetarian,Family with Kids,Indonesia - Bali Temples
Historical Sites,Honeymoon,Luxury,Winter,Weekend,Camping,Nature,Vegetarian,Friends Group,Egypt - Pyramids of Giza
City,Adventure,Budget-Friendly,Spring,Long(+month),Resort,Adventure,Vegetarian,Couples,India - Taj Mahal
City,Family Vacation,Mid-Range,Winter,Weekend,Hotel,Culture,Vegetarian,Couples,France - Eiffel Tower in Paris
Other,Honeymoon,Luxury,Autumn,Weekend,Apartment,Culture,Vegetarian,Friends Group,Greece - Santorini Sunset
Other,Honeymoon,Budget-Friendly,Autumn,A Month,Hostel,Adventure,Vegan,Family with Kids,Switzerland - Swiss Alps
Island,Other,Mid-Range,Autumn,A Month,Apartment,Nature,Vegetarian,Solo Traveler,Thailand - Beaches in Phuket
Countryside,Other,Luxury,Autumn,3-days,Hotel,Nature,Vegan,Business Group,Australia - Great Barrier Reef
Island,Family Vacation,Mid-Range,Spring,3-days,Camping,Adventure,Non-Vegetarian,Couples,UAE - Burj Khalifa in Dubai
Beach,Spiritual Retreat,Budget-Friendly,Winter,A Month,Hotel,Nature,Vegetarian,Solo Traveler,Indonesia - Bali Temples
Beach,Other,Budget-Friendly,Winter,Long(+month),Resort,Adventure,Vegetarian,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Countryside,Other,Luxury,Autumn,3-days,Camping,Culture,Non-Vegetarian,Family with Kids,Turkey - Cappadocia Hot Air Balloons
Mountains,Adventure,Budget-Friendly,Spring,A Month,Hotel,Relaxation,Vegan,Couples,Greece - Santorini Sunset
Historical Sites,Honeymoon,Luxury,Summer,A Month,Hotel,Culture,Vegan,Business Group,Indonesia - Bali Temples
Historical Sites,Family Vacation,Budget-Friendly,Spring,3-days,Hostel,Culture,Non-Vegetarian,Couples,Greece - Santorini Sunset
Beach,Spiritual Retreat,Budget-Friendly,Spring,Long(+month),Hotel,Culture,Non-Vegetarian,Family with Kids,Germany - Neuschwanstein Castle
Countryside,Adventure,Luxury,Summer,Weekend,Apartment,Culture,Vegetarian,Couples,Brazil - Carnival in Rio de Janeiro
Other,Honeymoon,Budget-Friendly,Winter,3-days,Camping,Nature,Vegan,Couples,France - Eiffel Tower in Paris
City,Adventure,Mid-Range,Summer,Weekend,Apartment,Nature,Non-Vegetarian,Solo Traveler,Canada - Niagara Falls
Historical Sites,Spiritual Retreat,Mid-Range,Autumn,3-days,Apartment,Culture,Vegetarian,Solo Traveler,Brazil - Carnival in Rio de Janeiro
Beach,Other,Budget-Friendly,Summer,A Month,Camping,Culture,Vegetarian,Solo Traveler,France - Eiffel Tower in Paris
Historical Sites,Honeymoon,Budget-Friendly,Winter,Weekend,Camping,Nature,Vegetarian,Family with Kids,Canada - Niagara Falls
Island,Honeymoon,Budget-Friendly,Winter,A Month,Apartment,Adventure,Vegan,Friends Group,New Zealand - Milford Sound
Island,Adventure,Mid-Range,Summer,A Month,Camping,Adventure,Non-Vegetarian,Friends Group,Canada - Niagara Falls
Island,Adventure,Mid-Range,Autumn,A Month,Apartment,Culture,Vegetarian,Family with Kids,Italy - Venetian Canals in Venice
Mountains,Honeymoon,Mid-Range,Winter,3-days,Resort,Adventure,Vegan,Family with Kids,Switzerland - Swiss Alps
Other,Family Vacation,Budget-Friendly,Spring,3-days,Resort,Culture,Vegan,Friends Group,UAE - Burj Khalifa in Dubai
City,Family Vacation,Luxury,Summer,Long(+month),Apartment,Relaxation,Vegan,Business Group,India - Taj Mahal
City,Adventure,Mid-Range,Autumn,3-days,Resort,Relaxation,Vegan,Couples,Indonesia - Bali Temples
Mountains,Other,Luxury,Autumn,A Month,Hotel,Nature,Vegan,Solo Traveler,Australia - Great Barrier Reef
Historical Sites,Adventure,Mid-Range,Autumn,3-days,Hotel,Adventure,Vegan,Solo Traveler,Japan - Cherry Blossoms in Kyoto
Other,Family Vacation,Mid-Range,Autumn,3-days,Resort,Relaxation,Vegetarian,Friends Group,Italy - Venetian Canals in Venice
Mountains,Other,Luxury,Spring,3-days,Resort,Culture,Vegetarian,Business Group,New Zealand - Milford Sound
Other,Honeymoon,Mid-Range,Winter,3-days,Hotel,Culture,Non-Vegetarian,Business Group,India - Taj Mahal
Other,Family Vacation,Budget-Friendly,Autumn,Long(+month),Apartment,Culture,Non-Vegetarian,Friends Group,Canada - Niagara Falls
Beach,Spiritual Retreat,Luxury,Winter,Long(+month),Resort,Adventure,Vegan,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Historical Sites,Honeymoon,Budget-Friendly,Autumn,Weekend,Hostel,Adventure,Vegan,Business Group,New Zealand - Milford Sound
Historical Sites,Adventure,Luxury,Summer,A Month,Resort,Culture,Vegetarian,Solo Traveler,Japan - Cherry Blossoms in Kyoto
Beach,Spiritual Retreat,Mid-Range,Summer,Long(+month),Hotel,Adventure,Vegetarian,Business Group,Switzerland - Swiss Alps
Other,Other,Luxury,Autumn,3-days,Apartment,Culture,Vegan,Couples,Greece - Santorini Sunset
Historical Sites,Spiritual Retreat,Budget-Friendly,Summer,Long(+month),Apartment,Adventure,Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
Historical Sites,Spiritual Retreat,Budget-Friendly,Winter,Long(+month),Resort,Relaxation,Vegan,Business Group,South Africa - Safari in Kruger National Park
City,Honeymoon,Mid-Range,Winter,Long(+month),Resort,Adventure,Vegetarian,Friends Group,India - Taj Mahal
City,Other,Luxury,Summer,A Month,Camping,Adventure,Vegan,Friends Group,UAE - Burj Khalifa in Dubai
Beach,Honeymoon,Mid-Range,Summer,A Month,Resort,Nature,Non-Vegetarian,Couples,Brazil - Carnival in Rio de Janeiro
Mountains,Family Vacation,Budget-Friendly,Spring,A Month,Apartment,Adventure,Non-Vegetarian,Solo Traveler,Switzerland - Swiss Alps
Historical Sites,Adventure,Luxury,Winter,Weekend,Hotel,Culture,Vegetarian,Business Group,Italy - Venetian Canals in Venice
Mountains,Family Vacation,Luxury,Winter,Weekend,Apartment,Nature,Vegetarian,Business Group,Germany - Neuschwanstein Castle
Beach,Family Vacation,Budget-Friendly,Winter,Long(+month),Hostel,Nature,Vegan,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Mountains,Family Vacation,Mid-Range,Spring,Long(+month),Apartment,Nature,Vegan,Friends Group,France - Eiffel Tower in Paris
Mountains,Honeymoon,Mid-Range,Summer,3-days,Hostel,Adventure,Vegan,Couples,Indonesia - Bali Temples
Other,Spiritual Retreat,Luxury,Autumn,Long(+month),Hostel,Adventure,Vegan,Business Group,Italy - Venetian Canals in Venice
Countryside,Adventure,Budget-Friendly,Summer,Weekend,Hostel,Relaxation,Vegan,Solo Traveler,Indonesia - Bali Temples
City,Family Vacation,Mid-Range,Winter,A Month,Resort,Culture,Vegan,Solo Traveler,Mexico - Chichen Itza
Mountains,Family Vacation,Budget-Friendly,Summer,3-days,Hostel,Relaxation,Vegan,Friends Group,Egypt - Pyramids of Giza
Countryside,Honeymoon,Budget-Friendly,Summer,Weekend,Hotel,Adventure,Non-Vegetarian,Friends Group,Germany - Neuschwanstein Castle
Other,Family Vacation,Budget-Friendly,Spring,A Month,Camping,Relaxation,Vegan,Couples,Brazil - Carnival in Rio de Janeiro
Historical Sites,Family Vacation,Budget-Friendly,Summer,Weekend,Hostel,Adventure,Vegan,Family with Kids,South Africa - Safari in Kruger National Park
City,Honeymoon,Luxury,Summer,3-days,Apartment,Relaxation,Non-Vegetarian,Business Group,UAE - Burj Khalifa in Dubai
Beach,Other,Budget-Friendly,Summer,A Month,Camping,Adventure,Vegan,Business Group,Mexico - Chichen Itza
Island,Adventure,Budget-Friendly,Spring,3-days,Resort,Adventure,Non-Vegetarian,Friends Group,Canada - Niagara Falls
Countryside,Spiritual Retreat,Mid-Range,Winter,Long(+month),Hostel,Culture,Vegan,Solo Traveler,Brazil - Carnival in Rio de Janeiro
Other,Spiritual Retreat,Luxury,Spring,Long(+month),Hotel,Culture,Non-Vegetarian,Family with Kids,Canada - Niagara Falls
Historical Sites,Other,Mid-Range,Spring,A Month,Hotel,Adventure,Vegan,Family with Kids,Indonesia - Bali Temples
Mountains,Other,Mid-Range,Spring,Weekend,Hostel,Adventure,Vegetarian,Business Group,Japan - Cherry Blossoms in Kyoto
Mountains,Spiritual Retreat,Budget-Friendly,Summer,3-days,Camping,Nature,Vegan,Business Group,Canada - Niagara Falls
Other,Family Vacation,Budget-Friendly,Spring,Weekend,Hostel,Culture,Vegetarian,Couples,India - Taj Mahal
Beach,Spiritual Retreat,Mid-Range,Autumn,Weekend,Resort,Nature,Non-Vegetarian,Couples,UAE - Burj Khalifa in Dubai
Other,Family Vacation,Budget-Friendly,Summer,A Month,Camping,Culture,Vegan,Friends Group,UAE - Burj Khalifa in Dubai
Beach,Adventure,Luxury,Autumn,3-days,Camping,Nature,Vegetarian,Solo Traveler,UAE - Burj Khalifa in Dubai
Countryside,Honeymoon,Luxury,Spring,A Month,Apartment,Relaxation,Non-Vegetarian,Business Group,Indonesia - Bali Temples
Historical Sites,Family Vacation,Budget-Friendly,Spring,Long(+month),Hotel,Culture,Vegan,Couples,South Africa - Safari in Kruger National Park
Island,Spiritual Retreat,Budget-Friendly,Summer,Long(+month),Hostel,Culture,Non-Vegetarian,Solo Traveler,France - Eiffel Tower in Paris
Other,Other,Budget-Friendly,Summer,A Month,Hostel,Culture,Non-Vegetarian,Solo Traveler,Australia - Great Barrier Reef
Countryside,Honeymoon,Budget-Friendly,Winter,3-days,Camping,Adventure,Vegetarian,Couples,Greece - Santorini Sunset
Historical Sites,Other,Budget-Friendly,Winter,A Month,Apartment,Culture,Vegan,Family with Kids,Turkey - Cappadocia Hot Air Balloons
Beach,Family Vacation,Mid-Range,Winter,3-days,Hotel,Nature,Non-Vegetarian,Family with Kids,Japan - Cherry Blossoms in Kyoto
Other,Adventure,Mid-Range,Winter,A Month,Hostel,Relaxation,Non-Vegetarian,Business Group,France - Eiffel Tower in Paris
Countryside,Spiritual Retreat,Budget-Friendly,Summer,A Month,Hotel,Nature,Vegetarian,Family with Kids,New Zealand - Milford Sound
Countryside,Other,Luxury,Summer,Long(+month),Hotel,Relaxation,Non-Vegetarian,Couples,Indonesia - Bali Temples
Mountains,Adventure,Luxury,Autumn,A Month,Camping,Nature,Vegan,Business Group,Japan - Cherry Blossoms in Kyoto
Historical Sites,Family Vacation,Mid-Range,Autumn,A Month,Camping,Adventure,Non-Vegetarian,Business Group,Thailand - Beaches in Phuket
Countryside,Other,Mid-Range,Spring,Long(+month),Resort,Nature,Non-Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
Beach,Family Vacation,Mid-Range,Winter,Weekend,Apartment,Nature,Vegetarian,Business Group,Egypt - Pyramids of Giza
City,Adventure,Luxury,Summer,3-days,Apartment,Nature,Vegetarian,Couples,USA - Grand Canyon
Beach,Family Vacation,Budget-Friendly,Summer,Long(+month),Hostel,Culture,Non-Vegetarian,Friends Group,Brazil - Carnival in Rio de Janeiro
Mountains,Honeymoon,Luxury,Autumn,3-days,Apartment,Culture,Vegetarian,Business Group,Thailand - Beaches in Phuket
Mountains,Adventure,Luxury,Autumn,A Month,Hostel,Relaxation,Non-Vegetarian,Couples,South Africa - Safari in Kruger National Park
Island,Spiritual Retreat,Mid-Range,Spring,3-days,Apartment,Nature,Vegan,Friends Group,Egypt - Pyramids of Giza
Countryside,Other,Luxury,Autumn,Long(+month),Hostel,Adventure,Vegetarian,Couples,Thailand - Beaches in Phuket
City,Honeymoon,Mid-Range,Summer,Long(+month),Hostel,Nature,Vegan,Couples,Italy - Venetian Canals in Venice
Other,Other,Budget-Friendly,Autumn,A Month,Camping,Culture,Vegan,Family with Kids,USA - Grand Canyon
City,Other,Luxury,Autumn,Weekend,Resort,Adventure,Non-Vegetarian,Friends Group,USA - Grand Canyon
Historical Sites,Spiritual Retreat,Luxury,Spring,Long(+month),Resort,Nature,Vegetarian,Friends Group,Canada - Niagara Falls
Other,Other,Mid-Range,Summer,Long(+month),Resort,Relaxation,Vegan,Solo Traveler,Italy - Venetian Canals in Venice
Beach,Spiritual Retreat,Luxury,Winter,3-days,Hostel,Culture,Non-Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Beach,Other,Luxury,Autumn,Long(+month),Apartment,Relaxation,Non-Vegetarian,Solo Traveler,Canada - Niagara Falls
City,Spiritual Retreat,Mid-Range,Summer,Weekend,Apartment,Relaxation,Vegetarian,Solo Traveler,France - Eiffel Tower in Paris
Historical Sites,Honeymoon,Budget-Friendly,Winter,A Month,Resort,Culture,Vegetarian,Friends Group,Thailand - Beaches in Phuket
City,Honeymoon,Luxury,Autumn,Long(+month),Camping,Relaxation,Vegetarian,Business Group,Egypt - Pyramids of Giza
Historical Sites,Adventure,Luxury,Autumn,3-days,Hotel,Culture,Vegetarian,Couples,Greece - Santorini Sunset
Mountains,Other,Budget-Friendly,Winter,3-days,Resort,Relaxation,Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
Mountains,Adventure,Mid-Range,Winter,3-days,Hotel,Culture,Non-Vegetarian,Business Group,France - Eiffel Tower in Paris
Beach,Spiritual Retreat,Budget-Friendly,Winter,Long(+month),Resort,Adventure,Vegan,Business Group,France - Eiffel Tower in Paris
Historical Sites,Spiritual Retreat,Mid-Range,Autumn,A Month,Hotel,Nature,Non-Vegetarian,Friends Group,Turkey - Cappadocia Hot Air Balloons
Countryside,Honeymoon,Luxury,Winter,A Month,Resort,Relaxation,Vegan,Family with Kids,South Africa - Safari in Kruger National Park
City,Adventure,Mid-Range,Summer,3-days,Hostel,Culture,Non-Vegetarian,Friends Group,Australia - Great Barrier Reef
Beach,Adventure,Mid-Range,Autumn,Long(+month),Hostel,Nature,Non-Vegetarian,Friends Group,Indonesia - Bali Temples
Beach,Family Vacation,Budget-Friendly,Summer,Long(+month),Apartment,Adventure,Vegan,Business Group,Greece - Santorini Sunset
Mountains,Other,Luxury,Summer,Weekend,Camping,Adventure,Non-Vegetarian,Business Group,Mexico - Chichen Itza
Mountains,Family Vacation,Luxury,Autumn,Weekend,Apartment,Relaxation,Non-Vegetarian,Family with Kids,Japan - Cherry Blossoms in Kyoto
Island,Honeymoon,Mid-Range,Spring,Weekend,Camping,Adventure,Vegan,Solo Traveler,Switzerland - Swiss Alps
Other,Honeymoon,Mid-Range,Summer,Long(+month),Hostel,Relaxation,Vegetarian,Friends Group,Japan - Cherry Blossoms in Kyoto
Historical Sites,Family Vacation,Luxury,Autumn,Long(+month),Hotel,Adventure,Non-Vegetarian,Friends Group,Indonesia - Bali Temples
Countryside,Honeymoon,Budget-Friendly,Autumn,Weekend,Hostel,Relaxation,Vegan,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Island,Adventure,Luxury,Autumn,A Month,Resort,Adventure,Vegan,Business Group,Thailand - Beaches in Phuket
Beach,Family Vacation,Luxury,Autumn,3-days,Hostel,Culture,Non-Vegetarian,Business Group,Thailand - Beaches in Phuket
Island,Honeymoon,Mid-Range,Autumn,3-days,Resort,Culture,Vegetarian,Solo Traveler,Indonesia - Bali Temples
Countryside,Adventure,Budget-Friendly,Autumn,A Month,Apartment,Nature,Non-Vegetarian,Friends Group,Canada - Niagara Falls
Island,Adventure,Mid-Range,Winter,3-days,Camping,Nature,Vegan,Family with Kids,Australia - Great Barrier Reef
Beach,Other,Budget-Friendly,Spring,Weekend,Hotel,Culture,Non-Vegetarian,Family with Kids,Indonesia - Bali Temples
Beach,Family Vacation,Budget-Friendly,Autumn,3-days,Hostel,Adventure,Vegetarian,Solo Traveler,Mexico - Chichen Itza
Island,Family Vacation,Mid-Range,Spring,3-days,Hostel,Relaxation,Non-Vegetarian,Business Group,USA - Grand Canyon
Historical Sites,Other,Budget-Friendly,Spring,Weekend,Apartment,Adventure,Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Countryside,Honeymoon,Mid-Range,Spring,A Month,Hotel,Culture,Non-Vegetarian,Couples,Brazil - Carnival in Rio de Janeiro
Historical Sites,Family Vacation,Luxury,Summer,3-days,Apartment,Adventure,Vegan,Family with Kids,Australia - Great Barrier Reef
Beach,Adventure,Budget-Friendly,Winter,Long(+month),Hostel,Adventure,Vegetarian,Couples,Turkey - Cappadocia Hot Air Balloons
Beach,Family Vacation,Luxury,Autumn,3-days,Camping,Nature,Non-Vegetarian,Family with Kids,Italy - Venetian Canals in Venice
Countryside,Honeymoon,Mid-Range,Spring,3-days,Resort,Nature,Non-Vegetarian,Family with Kids,Canada - Niagara Falls
Beach,Other,Budget-Friendly,Summer,A Month,Hotel,Adventure,Vegetarian,Business Group,USA - Grand Canyon
Island,Spiritual Retreat,Luxury,Summer,A Month,Apartment,Culture,Vegetarian,Family with Kids,Turkey - Cappadocia Hot Air Balloons
Countryside,Family Vacation,Luxury,Winter,Long(+month),Apartment,Culture,Vegan,Couples,Italy - Venetian Canals in Venice
Island,Adventure,Mid-Range,Autumn,3-days,Apartment,Culture,Vegetarian,Couples,Mexico - Chichen Itza
Mountains,Family Vacation,Budget-Friendly,Spring,3-days,Hostel,Culture,Non-Vegetarian,Solo Traveler,USA - Grand Canyon
Historical Sites,Adventure,Mid-Range,Winter,Weekend,Hostel,Relaxation,Vegan,Couples,Brazil - Carnival in Rio de Janeiro
Historical Sites,Honeymoon,Luxury,Summer,Weekend,Hotel,Culture,Vegetarian,Family with Kids,Greece - Santorini Sunset
Countryside,Other,Luxury,Autumn,Weekend,Apartment,Adventure,Non-Vegetarian,Solo Traveler,Thailand - Beaches in Phuket
Mountains,Adventure,Luxury,Winter,A Month,Camping,Relaxation,Non-Vegetarian,Family with Kids,Greece - Santorini Sunset
City,Honeymoon,Mid-Range,Summer,A Month,Apartment,Culture,Vegetarian,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Historical Sites,Family Vacation,Budget-Friendly,Autumn,Weekend,Hostel,Nature,Vegetarian,Family with Kids,Canada - Niagara Falls
Mountains,Family Vacation,Budget-Friendly,Autumn,A Month,Camping,Adventure,Vegetarian,Business Group,Australia - Great Barrier Reef
Historical Sites,Other,Mid-Range,Autumn,Weekend,Hostel,Relaxation,Vegetarian,Family with Kids,Italy - Venetian Canals in Venice
Mountains,Honeymoon,Mid-Range,Autumn,Weekend,Apartment,Culture,Vegetarian,Couples,Germany - Neuschwanstein Castle
Beach,Spiritual Retreat,Luxury,Winter,Weekend,Hostel,Culture,Vegetarian,Couples,Greece - Santorini Sunset
City,Adventure,Budget-Friendly,Winter,3-days,Apartment,Relaxation,Vegetarian,Business Group,Egypt - Pyramids of Giza
Island,Other,Mid-Range,Winter,3-days,Hostel,Nature,Vegan,Family with Kids,India - Taj Mahal
